#Model files used:	unknown
#Model used:	TIEGCM
#Coordinates:	GDZ	sph
#utc_time	c1	c2	c3
#[s]	[R_E]	[R_E]	[R_E]
1679450743.046000	-57.751190	48.990299	107.000000
1679450812.632000	-52.592224	50.333069	107.000000
1679450859.123000	-48.370361	51.129410	107.000008
1679450929.044000	-42.669800	51.811024	107.000000
1679450972.536000	-38.437866	52.061111	107.000000
1679451042.239000	-32.577942	52.031475	107.000000
1679451103.359000	-26.812561	51.598434	107.000000
1679451173.303000	-21.197327	50.760616	107.000000
1679451216.982000	-17.293701	49.919056	107.000000
1679451286.410000	-12.267548	48.455421	107.000000
1679451333.186000	-8.609650	47.101833	107.000000
1679451402.727000	-4.285706	45.103477	107.000000
1679451446.737000	-1.351166	43.475967	107.000008
1679451515.895000	2.262475	41.078171	107.000000
1679451576.747000	5.517945	38.499084	107.000000
1679451647.937000	8.518465	35.654835	107.000000
1679451690.686000	10.422165	33.585037	107.000000
1679451761.307000	12.871269	30.528940	107.000000
1679451806.903000	14.535278	28.174345	107.000000
1679451877.599000	16.546911	24.931059	107.000000
1679451920.743000	17.843052	22.579935	107.000000
1679451990.989000	19.495371	19.218151	107.000000
1679452078.212000	21.492079	14.469275	107.000000
1679452148.796000	22.748384	10.945503	107.000000
1679452192.109000	23.580256	8.408274	107.000000
1679452262.437000	24.614664	4.826031	107.000000
1679452308.315000	25.326637	2.093696	107.000000
1679452379.008000	26.178740	-1.570929	107.000000
1679452422.000000	26.718390	-4.189572	107.000000
1679452492.663000	27.406647	-7.898812	107.000000
1679452552.902000	27.990337	-11.512118	107.000000
1679452624.007000	28.508450	-15.287636	107.000000
1679452667.388000	28.830378	-17.975828	107.000000
1679452736.688000	29.187317	-21.681402	106.999992
1679452783.270000	29.422638	-24.573479	107.000000
1679452853.421000	29.649395	-28.344107	107.000000
1679452896.514000	29.760376	-31.046816	107.000000
1679452967.022000	29.851107	-34.852303	107.000000
1679453027.098000	29.832258	-38.535782	107.000000
1679453098.495000	29.708721	-42.400360	107.000000
1679453141.225000	29.544123	-45.096626	107.000000
1679453211.043000	29.203476	-48.858910	107.000000
1679453257.146000	28.812033	-51.739311	107.000000
1679453327.704000	28.112123	-55.550537	107.000000
1679453370.214000	27.447685	-58.214508	107.000000
1679453441.081000	26.163868	-62.001503	107.000000
1679453501.813000	24.435204	-65.670998	107.000000
1679453571.274000	21.938766	-69.318565	107.000000
1679453614.462000	19.385662	-71.920181	107.000000
1679453684.262000	14.252584	-75.430748	107.000000
1679453730.571000	8.158547	-77.994568	107.000000
1679453800.651000	-4.964569	-80.974976	107.000000
1679453843.296000	-20.248474	-82.591408	107.000000
1679453913.395000	-51.213745	-83.448456	107.000000
1679454000.743000	-88.753021	-81.325020	107.000000
1679454071.038000	-102.943695	-78.410423	107.000000
1679454113.964000	-109.123871	-76.054520	107.000000
1679454183.823000	-114.697098	-72.569870	107.000000
1679454230.279000	-117.601746	-69.802483	107.000000
1679454299.902000	-120.237610	-66.147797	107.000000
1679454343.508000	-121.640915	-63.462933	107.000000
1679454412.464000	-123.043304	-59.780193	106.999992
1679454473.615000	-124.081299	-56.059341	107.000000
1679454544.262000	-124.814224	-52.251228	107.000000
1679454587.294000	-125.204575	-49.553459	106.999992
1679454657.162000	-125.575516	-45.768215	107.000000
1679454703.866000	-125.781250	-42.853992	107.000000
1679454773.232000	-125.902359	-39.109356	107.000000
1679454817.463000	-125.942520	-36.338459	107.000000
1679454885.936000	-125.892532	-32.644073	107.000008
1679454947.643000	-125.767807	-28.864328	107.000008
1679455017.801000	-125.535416	-25.101034	107.000000
1679455061.499000	-125.341599	-22.370346	107.000000
1679455130.727000	-124.975021	-18.668718	107.000000
1679455177.905000	-124.647583	-15.761190	107.000000
1679455246.828000	-124.152847	-12.104616	107.000000
1679455290.649000	-123.740417	-9.407718	107.000000
1679455361.084000	-123.086731	-5.709647	107.000000
1679455421.578000	-122.372864	-2.104395	107.000000
1679455492.214000	-121.534454	1.551758	107.000000
1679455535.430000	-120.880280	4.142625	107.000000
1679455605.680000	-119.857651	7.726707	107.000000
1679455651.645000	-119.005493	10.420235	107.000000
1679455722.037000	-117.756699	13.935966	107.000000
1679455765.181000	-116.789261	16.408115	107.000000
1679455835.469000	-115.279068	19.828739	107.000000
1679455922.542000	-112.912659	24.425060	107.000000
1679455993.300000	-110.932693	27.682590	107.000000
1679456036.145000	-109.393921	29.921305	107.000000
1679456106.979000	-106.991577	33.002632	106.999992
1679456153.277000	-104.978592	35.256153	107.000000
1679456222.428000	-102.125641	38.033531	107.000000
1679456266.735000	-99.780548	39.999222	107.000000
1679456335.933000	-96.312653	42.479118	107.000000
1679456397.395000	-92.441742	44.768970	107.000000
1679456467.206000	-88.150879	46.802704	107.000000
1679456510.869000	-84.777893	48.117844	107.000008
1679456580.580000	-79.810791	49.650021	107.000000
1679456627.091000	-75.706360	50.602314	107.000000
1679456697.011000	-70.143097	51.493820	107.000000
1679456740.591000	-65.963318	51.902142	107.000000
1679456810.323000	-60.120728	52.100334	107.000000
1679456871.427000	-54.285797	51.890549	107.000000
1679456941.365000	-48.569672	51.256618	107.000000
1679456984.969000	-44.547882	50.559090	107.000000
1679457054.534000	-39.317566	49.285191	107.000000
1679457101.325000	-35.493469	48.059185	107.000000
1679457170.934000	-30.948181	46.210106	107.000000
1679457215.029000	-27.841614	44.684074	107.000000
1679457284.160000	-24.024261	42.395691	106.999992
1679457345.033000	-20.570496	39.914318	106.999992
1679457416.140000	-17.399811	37.167839	107.000000
1679457458.790000	-15.375763	35.152279	107.000000
1679457529.443000	-12.769806	32.163479	107.000000
1679457575.165000	-10.998291	29.847538	107.000000
1679457645.756000	-8.870239	26.658138	107.000000
1679457688.949000	-7.488434	24.336306	107.000000
1679457759.194000	-5.742889	21.011242	107.000000
1679457846.677000	-3.612946	16.286505	107.000000
1679457916.990000	-2.279449	12.820415	107.000000
1679457960.351000	-1.405212	10.292140	107.000000
1679458030.383000	-0.305969	6.748467	107.000000
1679458076.447000	0.458319	4.011890	107.000000
1679458146.827000	1.362197	0.390373	107.000000
1679458190.047000	1.940665	-2.222916	107.000000
1679458260.386000	2.673275	-5.903575	107.000000
1679458320.764000	3.301422	-9.517828	106.999992
1679458391.692000	3.857606	-13.270038	107.000000
1679458435.096000	4.212018	-15.957378	107.000000
1679458504.164000	4.617935	-19.637377	107.000000
1679458551.124000	4.889762	-22.552134	107.000000
1679458620.793000	5.164709	-26.280987	107.000000
1679458664.266000	5.311553	-29.008728	107.000000
1679458734.241000	5.449357	-32.773102	107.000000
1679458794.699000	5.483732	-36.478371	107.000000
1679458865.714000	5.418383	-40.322323	107.000000
1679458908.686000	5.302862	-43.030090	107.000000
1679458978.055000	5.038815	-46.774544	107.000000
1679459024.448000	4.716308	-49.681648	107.000000
1679459094.627000	4.148097	-53.463318	107.000000
1679459137.333000	3.597108	-56.144440	107.000000
1679459207.931000	2.547149	-59.927906	107.000008
1679459269.091000	1.093926	-63.640999	107.000000
1679459338.125000	-0.946655	-67.286926	107.000000
1679459381.538000	-2.994751	-69.928398	107.000000
1679459451.175000	-6.979980	-73.493660	107.000000
1679459497.516000	-11.593750	-76.156845	107.000000
1679459567.580000	-21.129944	-79.396988	107.000000
1679459610.448000	-32.216644	-81.390495	107.000000
1679459680.468000	-57.554047	-83.231789	106.999992
1679459812.853000	-115.478577	-80.975586	107.000000
1679459882.836000	-128.645660	-77.995087	107.000000
1679459925.944000	-134.414551	-75.603996	107.000000
1679459995.759000	-139.657166	-72.104401	107.000000
1679460042.666000	-142.417786	-69.297890	107.000000
1679460112.120000	-144.892090	-65.652992	107.000000
1679460155.807000	-146.245331	-62.953812	107.000000
1679460224.920000	-147.590652	-59.270203	107.000000
1679460286.222000	-148.588379	-55.524239	107.000000
1679460356.623000	-149.264374	-51.735565	107.000000
1679460399.533000	-149.652863	-49.038456	107.000000
1679460469.408000	-149.991959	-45.266617	107.000000
1679460516.056000	-150.182922	-42.333817	107.000000
1679460585.438000	-150.295288	-38.595867	107.000000
1679460629.677000	-150.330460	-35.823162	107.000000
1679460698.229000	-150.262909	-32.127319	107.000000
1679460760.075000	-150.120941	-28.354971	107.000000
1679460830.021000	-149.882446	-24.589275	107.000000
1679460873.706000	-149.669128	-21.863626	107.000000
1679460943.076000	-149.296692	-18.162277	107.000000
1679460990.237000	-148.963120	-15.248827	107.000008
1679461059.221000	-148.456146	-11.602062	107.000000
1679461102.966000	-148.033890	-8.905056	107.000000
